"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","bankable"
32,"Private",27882,"Some-college",10,"Never-married","Machine-op-inspct","Other-relative","White","Female",0,2205,40,"Holand-Netherlands","<=50K"
42,"Self-emp-inc",23510,"Masters",14,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Male",0,2201,60,"India",">50K"
64,"Private",181232,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States","<=50K"
28,"Private",166481,"7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","Other","Male",0,2179,40,"Puerto-Rico","<=50K"
41,"Self-emp-inc",139916,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","Other","Male",0,2179,84,"Mexico","<=50K"
41,"Self-emp-not-inc",144594,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States","<=50K"
34,"Self-emp-not-inc",56460,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Wife","White","Female",0,2179,12,"United-States","<=50K"
47,"Self-emp-not-inc",191175,"5th-6th",3,"Married-civ-spouse","Sales","Husband","White","Male",0,2179,50,"Mexico","<=50K"
41,"Self-emp-not-inc",170214,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,2179,40,"United-States","<=50K"
66,"?",177351,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",0,2174,40,"United-States",">50K"
70,"Private",282642,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,2174,40,"United-States",">50K"
73,"Private",147551,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2174,50,"United-States",">50K"
64,"Private",149044,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,2057,60,"China","<=50K"
34,"Private",199864,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2057,40,"United-States","<=50K"
41,"Private",125831,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,60,"United-States","<=50K"
35,"Private",67728,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,45,"United-States","<=50K"
26,"Private",115717,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2051,40,"United-States","<=50K"
54,"Private",172281,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2051,50,"United-States","<=50K"
52,"Private",195635,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,2051,38,"United-States","<=50K"
61,"Private",179743,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,20,"United-States","<=50K"
43,"Private",117037,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2042,40,"United-States","<=50K"
46,"Private",315423,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2042,50,"United-States","<=50K"
49,"Local-gov",107231,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,40,"United-States","<=50K"
56,"Private",201822,"7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,2002,40,"United-States","<=50K"
48,"Private",413363,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,40,"United-States","<=50K"
28,"Local-gov",175262,"Assoc-acdm",12,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,2002,40,"England","<=50K"
26,"Private",36936,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,40,"United-States","<=50K"
47,"Self-emp-not-inc",208407,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2002,30,"United-States","<=50K"
41,"Private",41090,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,60,"United-States","<=50K"
45,"Private",357540,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2002,55,"United-States","<=50K"
36,"Private",107916,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,40,"United-States","<=50K"
53,"Private",283743,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,40,"United-States","<=50K"
30,"Private",57651,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Male",0,2001,42,"United-States","<=50K"
20,"Private",315877,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Male",0,2001,40,"United-States","<=50K"
41,"Self-emp-not-inc",277783,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,2001,50,"United-States","<=50K"
24,"Private",210029,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,2001,37,"United-States","<=50K"
56,"Federal-gov",61885,"Bachelors",13,"Never-married","Transport-moving","Not-in-family","Black","Male",0,2001,65,"United-States","<=50K"
34,"Private",209297,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","Black","Male",0,2001,40,"United-States","<=50K"
21,"?",40052,"Some-college",10,"Never-married","?","Not-in-family","White","Male",0,2001,45,"United-States","<=50K"
48,"Private",93476,"HS-grad",9,"Separated","Adm-clerical","Not-in-family","White","Female",0,2001,40,"United-States","<=50K"
42,"Private",175935,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,1980,46,"United-States","<=50K"
58,"Private",126104,"Masters",14,"Divorced","Adm-clerical","Not-in-family","White","Female",0,1980,45,"United-States","<=50K"
31,"Private",184306,"Assoc-voc",11,"Never-married","Transport-moving","Own-child","White","Male",0,1980,60,"United-States","<=50K"
25,"Private",111058,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
45,"Private",100651,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
40,"Private",207578,"Assoc-acdm",12,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,60,"United-States",">50K"
49,"Private",192776,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United-States",">50K"
37,"Private",22463,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"United-States",">50K"
46,"Private",129007,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
44,"Self-emp-not-inc",179557,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United-States",">50K"
42,"Local-gov",111252,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
38,"Federal-gov",338320,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
43,"Local-gov",147328,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"United-States",">50K"
48,"Private",331482,"Prof-school",15,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United-States",">50K"
56,"Private",192869,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,44,"United-States",">50K"
45,"Private",33300,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,50,"United-States",">50K"
49,"Private",101825,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,40,"United-States",">50K"
34,"Private",181091,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United-States",">50K"
25,"Local-gov",90730,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States",">50K"
58,"State-gov",194068,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
62,"Private",218009,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1977,60,"United-States",">50K"
43,"Self-emp-inc",221172,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States",">50K"
42,"Self-emp-inc",277256,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United-States",">50K"
63,"Self-emp-not-inc",35021,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1977,32,"China",">50K"
40,"Private",209547,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,60,"United-States",">50K"
43,"Private",118308,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
43,"State-gov",33331,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,70,"United-States",">50K"
41,"Self-emp-not-inc",200574,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United-States",">50K"
32,"Private",204374,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United-States",">50K"
53,"Private",193720,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
36,"Private",32776,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
47,"Local-gov",285060,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,41,"United-States",">50K"
42,"Self-emp-inc",130126,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States",">50K"
51,"Private",102615,"Masters",14,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1977,40,"United-States",">50K"
55,"Private",208311,"Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,20,"United-States",">50K"
52,"Private",139671,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United-States",">50K"
35,"Private",86648,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United-States",">50K"
57,"Private",437727,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United-States",">50K"
52,"Private",168553,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"United-States",">50K"
37,"Private",241998,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United-States",">50K"
46,"Private",337050,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United-States",">50K"
44,"Private",157249,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,1977,50,"United-States",">50K"
51,"Private",199688,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"?",">50K"
27,"Private",183627,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United-States",">50K"
53,"Private",152810,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,55,"United-States",">50K"
39,"Self-emp-not-inc",202027,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
39,"Private",218490,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
49,"Private",137192,"Bachelors",13,"Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,1977,50,"South",">50K"
53,"Self-emp-not-inc",100109,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United-States",">50K"
31,"Private",183043,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,48,"United-States",">50K"
42,"Self-emp-inc",188738,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"Italy",">50K"
60,"Self-emp-not-inc",282066,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United-States",">50K"
37,"Private",109133,"Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,45,"United-States",">50K"
45,"Private",145636,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,43,"United-States",">50K"
51,"State-gov",285747,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United-States",">50K"
39,"Private",80324,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,62,"United-States",">50K"
53,"Federal-gov",271544,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,1977,40,"United-States",">50K"
57,"Private",141570,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,1977,40,"United-States",">50K"
50,"Local-gov",124963,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,35,"United-States",">50K"
34,"Private",112115,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,55,"United-States",">50K"
31,"State-gov",207505,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,70,"United-States",">50K"
40,"Private",107433,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United-States",">50K"
40,"Private",46990,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,20,"United-States",">50K"
46,"Self-emp-inc",216414,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,60,"United-States",">50K"
31,"Private",147284,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,99,"United-States",">50K"
51,"Private",172046,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United-States",">50K"
36,"Private",145576,"Masters",14,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1977,40,"Japan",">50K"
41,"Self-emp-inc",93227,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,1977,60,"Taiwan",">50K"
47,"Private",239865,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,45,"United-States",">50K"
39,"Local-gov",180686,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United-States",">50K"
54,"Private",511668,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,43,"United-States",">50K"
46,"Private",261059,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
36,"Private",386726,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,44,"United-States",">50K"
44,"Private",340885,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1977,40,"United-States",">50K"
33,"Private",149184,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
54,"Private",308087,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,18,"United-States",">50K"
36,"Private",218689,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,50,"United-States",">50K"
41,"Private",347653,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
26,"?",370727,"Bachelors",13,"Married-civ-spouse","?","Wife","White","Female",0,1977,40,"United-States",">50K"
36,"Private",237943,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United-States",">50K"
21,"Private",109414,"Some-college",10,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Male",0,1974,40,"United-States","<=50K"
30,"Private",43953,"HS-grad",9,"Never-married","Adm-clerical","Other-relative","White","Female",0,1974,40,"United-States","<=50K"
77,"Self-emp-not-inc",71676,"Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,1944,1,"United-States","<=50K"
49,"Local-gov",193960,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"United-States",">50K"
38,"Private",132879,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,40,"United-States",">50K"
48,"State-gov",55863,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,46,"United-States",">50K"
51,"Private",415287,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,1902,40,"United-States",">50K"
42,"Local-gov",121718,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,60,"United-States",">50K"
45,"Private",246891,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,40,"United-States",">50K"
49,"State-gov",133917,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,1902,60,"?",">50K"
40,"Local-gov",244522,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,48,"United-States",">50K"
41,"Private",84610,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,60,"United-States",">50K"
49,"Private",329603,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,40,"United-States",">50K"
40,"Federal-gov",298635,"Masters",14,"Married-civ-spouse","Tech-support","Husband","Asian-Pac-Islander","Male",0,1902,40,"Philippines",">50K"
54,"Private",86837,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,1902,40,"United-States",">50K"
44,"Self-emp-not-inc",402397,"Masters",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,60,"United-States",">50K"
57,"Local-gov",118481,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"United-States",">50K"
28,"Local-gov",250135,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,55,"United-States","<=50K"
36,"Self-emp-not-inc",283122,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1902,60,"United-States",">50K"
34,"Self-emp-not-inc",77209,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,60,"United-States",">50K"
46,"Private",377401,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1902,70,"Canada",">50K"
31,"Private",37546,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,35,"United-States",">50K"
59,"Self-emp-not-inc",325732,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,52,"United-States",">50K"
33,"Private",112115,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,45,"United-States",">50K"
46,"Private",459189,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,50,"United-States",">50K"
